BIRAO,Central African Republic,Northern,2020-08-21,10.28,22.79,23.03,93,92,2.02
OKATO,New Zealand,Southern,2020-08-21,-39.2,173.88,10.0,85,68,1.34
SOBOLEVO,Russian Federation,Northern,2020-08-21,54.43,31.9,12.87,96,100,2.88
TUKRAH,Libya,Northern,2020-08-21,32.53,20.58,26.65,70,0,7.72
ITAPIRAPUA,Brazil,Southern,2020-08-21,-15.82,-50.61,32.12,25,0,6.08
NANORTALIK,Greenland,Northern,2020-08-21,60.14,-45.24,9.65,63,0,2.14
BHANVAD,India,Northern,2020-08-21,21.93,69.77,27.08,90,100,4.37
MAHEBOURG,Mauritius,Southern,2020-08-21,-20.41,57.7,23.0,64,75,4.1
YELLOWKNIFE,Canada,Northern,2020-08-21,62.46,-114.35,11.67,71,40,5.1
OKSFJORD,Norway,Northern,2020-08-21,70.24,22.35,17.0,77,75,7.2
SAO GOTARDO,Brazil,Southern,2020-08-21,-19.31,-46.05,20.49,59,82,4.88
IXTAPA,Mexico,Northern,2020-08-21,20.7,-105.2,27.78,94,90,2.1
MAR DEL PLATA,Argentina,Southern,2020-08-21,-38.0,-57.56,18.0,34,0,4.1
LENINGRADSKIY,Russian Federation,Northern,2020-08-21,69.38,178.42,4.65,82,100,1.58
QUELIMANE,Mozambique,Southern,2020-08-21,-17.88,36.89,24.0,64,40,2.6
MEULABOH,Indonesia,Northern,2020-08-21,4.14,96.13,25.6,87,100,2.31
BOZHOU,China,Northern,2020-08-21,33.88,115.77,21.19,97,99,2.17
MECCA,Saudi Arabia,Northern,2020-08-21,21.43,39.83,35.4,27,1,4.56
CHOKURDAKH,Russian Federation,Northern,2020-08-21,70.63,147.92,2.02,92,98,3.13
COCKBURN TOWN,Turks and Caicos Islands,Northern,2020-08-21,21.46,-71.14,30.0,66,40,5.7
TERNATE,Indonesia,Northern,2020-08-21,0.8,127.4,26.62,80,82,0.57
MALANJE,Angola,Southern,2020-08-21,-9.54,16.34,30.0,66,75,4.1
BOJNURD,"Iran, Islamic Republic of",Northern,2020-08-21,37.47,57.33,32.0,13,0,4.1
LOMPOC,United States,Northern,2020-08-21,34.64,-120.46,16.0,82,90,3.92
TUATAPERE,New Zealand,Southern,2020-08-21,-46.13,167.68,7.78,97,43,0.89
SINNAMARY,French Guiana,Northern,2020-08-21,5.38,-52.95,29.96,62,23,5.89
ROSARIO,Argentina,Southern,2020-08-21,-32.95,-60.64,17.78,14,0,3.6
SIBOLGA,Indonesia,Northern,2020-08-21,1.74,98.78,25.32,83,91,1.18
ANDENES,Norway,Northern,2020-08-21,69.31,16.12,12.0,87,75,4.1
KAPAA,United States,Northern,2020-08-21,22.08,-159.32,26.0,78,90,6.7
YERBOGACHEN,Russian Federation,Northern,2020-08-21,61.28,108.01,12.4,91,34,1.79
PIACABUCU,Brazil,Southern,2020-08-21,-10.41,-36.43,26.24,73,80,5.17
HAMILTON,United States,Northern,2020-08-21,39.18,-84.53,28.89,57,1,3.1
KIJANG,"Korea, Republic of",Northern,2020-08-21,35.24,129.21,26.0,74,20,3.6
IQALUIT,Canada,Northern,2020-08-21,63.75,-68.51,10.0,76,75,2.6
GONAIVES,Haiti,Northern,2020-08-21,19.45,-72.68,30.0,62,20,6.2
RIO GRANDE,Brazil,Southern,2020-08-21,-32.03,-52.1,15.0,33,0,5.7
PORONAYSK,Russian Federation,Northern,2020-08-21,49.22,143.12,13.4,83,1,3.18
XIAMEN,China,Northern,2020-08-21,24.48,118.08,29.0,83,89,2.0
LEBU,Chile,Southern,2020-08-21,-37.62,-73.65,12.42,69,0,7.37
KAVARATTI,India,Northern,2020-08-21,10.57,72.64,27.99,82,100,5.29
MANOKWARI,Indonesia,Southern,2020-08-21,-0.87,134.08,25.98,73,49,2.16
HUARMEY,Peru,Southern,2020-08-21,-10.07,-78.15,19.36,64,83,3.98
SAINT-PHILIPPE,Réunion,Southern,2020-08-21,-21.36,55.77,20.0,64,75,2.6
KUYTUN,Russian Federation,Northern,2020-08-21,54.34,101.5,15.1,72,100,2.91
PORT MACQUARIE,Australia,Southern,2020-08-21,-31.43,152.92,6.67,88,0,5.35
YULARA,Australia,Southern,2020-08-21,-25.24,130.99,10.0,43,0,3.1
EMERALD,Australia,Southern,2020-08-21,-23.53,148.17,13.0,35,4,4.1
AKSARKA,Russian Federation,Northern,2020-08-21,66.56,67.8,11.94,83,68,7.49
GAYA,India,Northern,2020-08-21,24.78,85.0,28.0,83,75,2.1
GUILIN,China,Northern,2020-08-21,25.28,110.29,25.0,94,92,0.44
MITSAMIOULI,Comoros,Southern,2020-08-21,-11.38,43.28,25.0,78,20,3.1
KAITANGATA,New Zealand,Southern,2020-08-21,-46.28,169.85,8.33,89,84,2.68
JALU,Libya,Northern,2020-08-21,29.03,21.55,34.09,24,0,4.63
BINTULU,Malaysia,Northern,2020-08-21,3.17,113.03,26.0,94,20,1.5
PEVEK,Russian Federation,Northern,2020-08-21,69.7,170.31,3.52,88,100,1.2
JATI,Pakistan,Northern,2020-08-21,24.35,68.27,28.62,82,100,2.5
MAKOKOU,Gabon,Northern,2020-08-21,0.57,12.86,25.72,74,67,0.72
MANIITSOQ,Greenland,Northern,2020-08-21,65.42,-52.9,9.2,76,4,1.28
BOSE,Italy,Northern,2020-08-21,45.46,8.01,31.67,49,15,1.27
ATOCHA,"Bolivia, Plurinational State of",Southern,2020-08-21,-20.93,-66.23,9.49,33,100,15.4
NUEVA GUINEA,Nicaragua,Northern,2020-08-21,11.69,-84.46,28.37,78,100,5.22
AGINSKOYE,Russian Federation,Northern,2020-08-21,51.1,114.53,17.12,76,100,0.96
AYKHAL,Russian Federation,Northern,2020-08-21,66.0,111.5,11.0,57,90,2.0
PANGOA,Peru,Southern,2020-08-21,-12.12,-73.0,15.45,95,100,1.43
PORTO NOVO,Benin,Northern,2020-08-21,6.5,2.6,26.0,88,20,5.7
CLYDE RIVER,Canada,Northern,2020-08-21,70.47,-68.59,6.0,85,100,1.62
AMGA,Russian Federation,Northern,2020-08-21,60.9,131.96,4.07,72,28,0.78
ALICE SPRINGS,Australia,Southern,2020-08-21,-23.7,133.88,10.0,34,0,2.1
BOLGATANGA,Ghana,Northern,2020-08-21,10.79,-0.85,28.75,77,69,2.48
KRUISFONTEIN,South Africa,Southern,2020-08-21,-34.0,24.73,15.56,79,0,2.48
THOMPSON,Canada,Northern,2020-08-21,55.74,-97.86,15.0,82,90,4.6
BELOHA,Madagascar,Southern,2020-08-21,-25.17,45.05,17.88,66,89,3.83
RIBEIRA GRANDE,Portugal,Northern,2020-08-21,38.52,-28.7,23.0,69,75,3.1
GEORGETOWN,Malaysia,Northern,2020-08-21,5.41,100.34,27.0,94,40,2.1
SRI AMAN,Malaysia,Northern,2020-08-21,1.24,111.46,25.0,94,56,0.65
BELMONTE,Brazil,Southern,2020-08-21,-15.86,-38.88,26.0,69,75,4.1
SAN PEDRO,Philippines,Northern,2020-08-21,14.35,121.02,27.22,94,100,0.5
HARPER,Liberia,Northern,2020-08-21,4.38,-7.72,25.2,78,75,4.68
PISCO,Peru,Southern,2020-08-21,-13.7,-76.22,16.11,87,90,3.1
DIEGO DE ALMAGRO,Chile,Southern,2020-08-21,-26.37,-70.05,25.22,14,0,4.3
KALABO,Zambia,Southern,2020-08-21,-14.97,22.68,24.88,23,15,2.9
TABAS,"Iran, Islamic Republic of",Northern,2020-08-21,33.6,56.92,39.0,11,0,2.1
JASA TOMIC,Serbia,Northern,2020-08-21,45.45,20.86,28.0,48,0,2.6
NAMATANAI,Papua New Guinea,Southern,2020-08-21,-3.67,152.43,26.08,85,13,2.09
PORT HEDLAND,Australia,Southern,2020-08-21,-20.32,118.57,17.0,51,3,3.6
KASEDA,Japan,Northern,2020-08-21,31.42,130.32,25.56,88,25,1.34
FORMOSA,Argentina,Southern,2020-08-21,-26.18,-58.18,14.0,24,0,4.6
MAINE-SOROA,Niger,Northern,2020-08-21,13.21,12.02,31.33,48,100,1.72
PAAMIUT,Greenland,Northern,2020-08-21,61.99,-49.67,8.76,76,1,2.48
LAKATORO,Vanuatu,Southern,2020-08-21,-16.1,167.42,25.94,86,70,4.91
PINEGA,Russian Federation,Northern,2020-08-21,64.7,43.39,15.87,74,75,1.77
ALTAMIRA,Brazil,Southern,2020-08-21,-3.2,-52.21,33.0,55,40,3.1
VESTMANNAEYJAR,Iceland,Northern,2020-08-21,63.44,-20.27,12.0,76,30,7.7
BUALA,Solomon Islands,Southern,2020-08-21,-8.14,159.59,26.75,77,20,0.83
SEVERO-KURILSK,Russian Federation,Northern,2020-08-21,50.68,156.12,10.83,78,24,6.73
PROVIDENIYA,Russian Federation,Northern,2020-08-21,64.38,-173.3,9.88,93,100,3.44
AXIM,Ghana,Northern,2020-08-21,4.87,-2.24,24.79,83,81,4.55
SAO FELIX DO XINGU,Brazil,Southern,2020-08-21,-6.64,-51.99,40.03,13,86,1.86
ATLANTIC CITY,United States,Northern,2020-08-21,39.36,-74.42,27.0,57,1,3.6
TOUROS,Brazil,Southern,2020-08-21,-5.2,-35.46,26.0,88,75,4.6
FAIRBANKS,United States,Northern,2020-08-21,64.84,-147.72,10.56,93,90,2.1
KINSHASA,"Congo, The Democratic Republic of the",Southern,2020-08-21,-4.32,15.32,31.0,52,72,3.6
NARSAQ,Greenland,Northern,2020-08-21,60.92,-46.05,13.0,50,5,3.1
TAOUDENNI,Mali,Northern,2020-08-21,22.68,-3.98,46.0,6,15,5.87
MAGOLE,"Tanzania, United Republic of",Southern,2020-08-21,-6.37,37.37,25.08,53,100,2.46
PORT-GENTIL,Gabon,Southern,2020-08-21,-0.72,8.78,26.0,74,90,6.2
SAKARAHA,Madagascar,Southern,2020-08-21,-22.9,44.53,19.58,72,6,5.99
SAPA,Philippines,Northern,2020-08-21,5.15,120.32,28.32,75,9,2.82
NOME,United States,Northern,2020-08-21,64.5,-165.41,11.0,87,90,1.62
KANNIYAKUMARI,India,Northern,2020-08-21,8.08,77.57,26.77,82,43,7.66
